properties,latitude,longitude
{'DURAK_ADI': 'Kubilay Cad.'},40.8986683838,29.2146029802
{'DURAK_ADI': 'Yeni Mithatpaşa Cad.'},40.8804650514,29.2264227231
{'DURAK_ADI': 'Yeni Mithatpaşa Cad.'},40.8804014277,29.2263392101
{'DURAK_ADI': 'KOMİK HASAN EFENDİ CADDESİ'},40.9987155711,28.8640725638
{'DURAK_ADI': 'BÜLENT ECEVİT OKULU'},41.0058936897,28.8457381086
{'DURAK_ADI': 'AKASYA PARKI'},41.0063497211,28.8434787728
{'DURAK_ADI': 'Mustafa Kemal Atatürk 1 Cad.'},41.0444235461,28.4951072531
{'DURAK_ADI': 'Bağlantı Yolu'},41.0303797746,28.504242137
{'DURAK_ADI': 'İstiklal Cad.'},41.0228191171,28.5429154215
{'DURAK_ADI': 'İstiklal Cad.'},41.0298588831,28.5482896955
{'DURAK_ADI': 'Vatan Cad.'},41.026394483,28.5507859744
{'DURAK_ADI': 'YEŞİLCE MAHALLESİ'},41.0967283913,28.9976429107
{'DURAK_ADI': 'HALİL RAHMAN CAMİİ'},41.0942897552,29.0004054179
{'DURAK_ADI': 'BAŞARI OKULU'},41.0905978388,29.0031896178
{'DURAK_ADI': 'SANAYİ MAHALLESİ'},41.0908266391,29.0058579082
{'DURAK_ADI': '4.LEVENT'},41.0874633349,29.0068848278
{'DURAK_ADI': 'YAHYA KEMAL'},41.0872506564,28.9864474518
{'DURAK_ADI': 'POLİS LOJMANLARI'},41.0994518391,28.9936275988
{'DURAK_ADI': 'YAZICIOĞLU KAVŞAĞI'},41.013670042,28.8450205871
{'DURAK_ADI': 'RADAR'},41.0162569774,28.8286224355
{'DURAK_ADI': 'TOZKOPARAN MAHALLESİ'},41.0189361581,28.8945511362
{'DURAK_ADI': 'KALE CENTER'},41.0162352091,28.8778113506
{'DURAK_ADI': 'AKINCILAR MAHALLESİ'},41.0154184942,28.8697646399
{'DURAK_ADI': 'GÜVEN MAHALLESİ'},41.0114033433,28.8729172413
{'DURAK_ADI': 'ONUR SİTESİ'},41.0087023264,28.8635493452
{'DURAK_ADI': 'KAZIM KARABEKİR OKULU'},41.0095191605,28.8602217833
{'DURAK_ADI': 'KILIÇ ALİ SOKAK'},41.0117120462,28.8610473416
{'DURAK_ADI': 'Çatalca Yolu Cad.'},41.0206350902,28.5641213176
{'DURAK_ADI': 'İsmetpaşa Cad.'},41.0254687321,28.557529803
{'DURAK_ADI': 'Eğitim Sk.'},41.0318309462,28.5481170542
{'DURAK_ADI': 'KILIÇ ALİ SOKAK'},41.0122898022,28.8595548895
{'DURAK_ADI': 'BASIN SİTESİ CAMİİ'},41.0082063871,28.8623935453
{'DURAK_ADI': 'FERİT SELİM PAŞA CADDESİ'},41.0077220135,28.8589586975
{'DURAK_ADI': 'FERİT SELİM PAŞA CADDESİ'},41.0095036951,28.8591686587
{'DURAK_ADI': 'HZ ÖMER CAMİİ'},41.012647253,28.8585738153
{'DURAK_ADI': 'ÇEŞME'},41.0184458382,28.8827986255
{'DURAK_ADI': 'KOCASİNAN MEZARLIĞI'},41.0159122338,28.8381503911
{'DURAK_ADI': 'KARADENİZ PARKI'},41.0086546487,28.8428433661
{'DURAK_ADI': 'KOMİK HASAN EFENDİ CADDESİ'},40.9980766964,28.8636584865
{'DURAK_ADI': '30 AĞUSTOS CADDESİ'},41.1836961445,28.7589184408
{'DURAK_ADI': 'BAYBARS SOKAK'},41.181432009,28.7593726579
{'DURAK_ADI': 'ANADOLU MAH'},41.1856417076,28.7501715996
{'DURAK_ADI': 'GAZİOSMANPAŞA MEYDAN'},41.05782945,28.9122079114
{'DURAK_ADI': 'BOSNA ÇUKURÇEŞME'},41.0633673367,28.9012425824
{'DURAK_ADI': 'VIALAND'},41.0754586583,28.9224062579
{'DURAK_ADI': 'Akören Cad.'},41.1187080935,28.2664519291
{'DURAK_ADI': 'Akören Cad.'},41.1315291875,28.2764560529
{'DURAK_ADI': 'AĞAÇLI'},41.0470033158,28.784156975
{'DURAK_ADI': 'GÜLBAHÇE'},41.0057575868,28.6500849013
{'DURAK_ADI': 'YAKUPLU'},40.9876571171,28.6807354222
{'DURAK_ADI': 'KARANFİL'},41.0599763912,28.6970371935
